,director,country,date_added,imdbRating,imdbVotes,language,time,season,type_Movie,type_TV Show,genre,cast_shows,cast_movies
0,0,1,2019.0,3.3,311.0,1,90 ,0,1.0,0.0,0.0,0.0,0.0
1,0,0,2016.0,4.8,23.0,1,94 ,0,1.0,0.0,0.0,0.0,0.0
2,0,1,2018.0,7.9,5454.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
3,0,1,2018.0,6.0,842.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
5,0,1,2017.0,5.9,292.0,1,110 ,0,0.0,1.0,0.0,0.0,0.0
6,0,0,2017.0,6.1,54330.0,0,60 ,0,1.0,0.0,0.0,0.0,0.0
7,0,1,2017.0,4.7,27.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
8,0,1,2017.0,6.6,320.0,1,90 ,0,0.0,1.0,0.0,0.0,0.0
9,0,1,2017.0,5.5,15549.0,1,95 ,0,1.0,0.0,0.0,0.0,0.0
11,0,0,2017.0,6.1,19556.0,1,135 ,0,1.0,0.0,0.0,0.0,0.0
12,0,1,2017.0,4.1,9.0,1,98 ,0,1.0,0.0,0.0,0.0,0.0
19,0,0,2017.0,6.1,48168.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
20,0,1,2017.0,5.6,1276.0,1,106 ,0,1.0,0.0,0.0,0.0,0.0
21,0,1,2017.0,6.1,8546.0,1,106 ,0,1.0,0.0,0.0,0.0,0.0
22,0,1,2017.0,6.2,469.0,0,102 ,0,1.0,0.0,0.0,0.0,0.0
23,0,0,2017.0,6.8,51685.0,0,114 ,0,1.0,0.0,0.0,0.0,0.0
24,0,0,2017.0,4.7,5062.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
25,0,0,2015.0,5.6,11592.0,0,125 ,0,1.0,0.0,0.0,0.0,0.0
27,0,0,2018.0,6.5,4804.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
28,0,1,2018.0,6.8,336.0,1,86 ,0,0.0,1.0,0.0,0.0,0.0
30,0,0,2018.0,6.6,14048.0,1,79 ,0,1.0,0.0,0.0,0.0,0.0
31,0,0,2018.0,5.8,34804.0,1,102 ,0,1.0,0.0,0.0,0.0,0.0
32,0,0,2018.0,5.3,927.0,1,10 ,0,1.0,0.0,0.0,0.0,0.0
33,0,1,2017.0,6.0,1058.0,1,122 ,0,1.0,0.0,0.0,0.0,0.0
34,0,0,2019.0,7.9,190.0,0,126 ,0,0.0,1.0,0.0,0.0,0.0
35,0,0,2019.0,8.2,23428.0,0,116 ,0,1.0,0.0,0.0,0.0,0.0
37,0,0,2019.0,7.9,1647.0,0,125 ,0,1.0,0.0,0.0,0.0,0.0
39,0,0,2019.0,7.9,30749.0,0,130 ,0,0.0,1.0,0.0,0.0,0.0
40,0,1,2018.0,5.4,4725.0,1,98 ,0,1.0,0.0,0.0,0.0,0.0
41,0,1,2018.0,8.1,162669.0,1,70 ,0,1.0,0.0,0.0,0.0,0.0
42,0,1,2017.0,4.9,176.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
43,0,0,2016.0,5.9,1341.0,0,128 ,0,1.0,0.0,0.0,0.0,0.0
